video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
다비치 - 안녕이라고 말하지마 [가사_Lyrics],uw83-MnCpAo,3:51,안녕이라고 말하지마,다비치,Q4,Q4,2011,2,0,0.1098790322580645,1051.305488575946,959.6468047454268,65.40639132514966,894.240413420277,0.0038151273038238,57633998,0.5907240758023425,Bb,major,0.9184054732322692,5.482322629545407
다비치 - 거북이 [가사_Lyrics],ofBinMrHfHQ,3:44,거북이,다비치,Q1,Q1,2013,2,0,0.1788010786143953,455.823726291938,177.66631669600923,65.40639132514966,112.25992537085958,0.0059869089163839,50365320,0.5465556307948745,Bb,major,0.900398313999176,2.9884433575258567
2NE1 - I AM THE BEST (내가 제일 잘 나가) - (Color Coded Han_Rom_Eng Lyrics) _ by Yankat,rrZxGvUSeAE,3:31,내가 제일 잘 나가,2NE1,Q1,Q1,2011,2,0,0.1206478624944909,340.1726734003307,353.2860680198856,65.40639132514966,287.87967669473596,0.0103783281520009,73964364,0.9063802438803276,C,major,0.7949572801589966,2.79535139317465
2NE1 (투애니원) - Clap Your Hands (박수쳐) Colour Coded Lyrics (Han_Rom_Eng),XmU1dKcCd8k,3:43,박수쳐,2NE1,Q1,Q1,2010,2,0,0.101242041540549,86.40402966762194,248.37216905734888,65.40639132514966,182.96577773219923,0.0146578149870038,59053558,0.6490615794500998,Bb,minor,0.8332850933074951,4.903632911285504
2NE1(투애니원) - Fire [가사_Lyrics],ahampaoO2Vg,3:45,Fire,2NE1,Q1,Q1,2009,2,0,0.0918134715025906,84.00865956133052,105.64102395561046,65.40639132514966,40.23463263046081,0.0045231510885059,83899370,0.9089456480655628,E,minor,0.9319080710411072,3.98781105558191
[Lyrics Video] BOL4(볼빨간사춘기) - Travel(여행),g6U2SS-ZMy8,3:42,여행,볼빨간 사춘기,Q1,Q1,2018,2,0,0.1113443173470458,537.3735717318771,146.8323839587038,65.40639132514966,81.42599263355413,0.0132338255643844,73585164,0.8176703337907655,C#,major,0.9509337544441224,2.4064019565519477
[M_V] Bolbbalgan4 - Tell Me You Love Me,y5MAgMVwfFs,3:28,좋다고 말해,볼빨간 사춘기,Q1,Q1,2016,2,0,0.1201255042581802,806.9841048800763,408.1700114541761,65.40639132514966,342.76362012902644,0.0175427179783582,33935984,0.4302172377489638,C#,major,0.9384920597076416,5.442838343180877
[Lyrics Video] BOL4(볼빨간사춘기) - Some(썸 탈꺼야),Je-AOvGZVso,3:02,썸 탈꺼야,볼빨간 사춘기,Q1,Q1,2017,2,0,0.1570332480818414,501.0336444685736,499.6219487911859,65.40639132514966,434.21555746603633,0.0101815937086939,39005188,0.6448256991882195,E,major,0.8814248442649841,5.578585703203558
SISTAR (씨스타) - Push Push (푸쉬푸쉬) ~Audio~,4JlGa6X_iV0,3:08,Push push,씨스타,Q1,Q1,2010,2,0,0.0849640822392866,134.99399271133888,165.76853496220332,65.40639132514966,100.36214363705366,0.0097577003762125,43785352,0.6787901314676544,C#,minor,0.8526763319969177,0.9986206127523464
SISTAR (씨스타) - So Cool Lyrics [HAN_ROM_ENG],8Z5p1UsKRXo,3:24,So Cool,씨스타,Q1,Q1,2011,2,0,0.164078556748116,660.9418645248937,663.0741398488134,65.40639132514966,597.6677485236637,0.0089217256754636,68769212,0.9053352596118428,F#,minor,0.8434068560600281,1.3501899916233628
